time_s,cart_x_m,theta_rad,cart_v_mps,theta_dot_radps,force_N,solve_time_ms,solver_success,solver_status,first_x_ddot_mps2,first_theta_ddot_radps2,passive_hinge_id_residual_Nm
1.220000,0.223592097,-0.012220393,0.146694547,-0.008178607,-0.153727073,2.639640,1,Solve_Succeeded,-0.129392077,0.025724680,0.000000000000e+00
1.230000,0.225043835,-0.012299382,0.145401882,-0.007940887,-0.155100966,3.886959,1,Solve_Succeeded,-0.130475907,0.024503134,-8.673617379884e-19
1.240000,0.226482525,-0.012375921,0.144098938,-0.007696954,-0.155100966,3.886959,1,Solve_Succeeded,-0.130475907,0.024503134,-8.673617379884e-19
1.250000,0.227908178,-0.012450224,0.142795361,-0.007470299,-0.156394828,2.731287,1,Solve_Succeeded,-0.131496804,0.023356724,8.673617379884e-19
1.260000,0.229320681,-0.012522191,0.141482102,-0.007237770,-0.156394828,2.731287,1,Solve_Succeeded,-0.131496804,0.023356724,8.673617379884e-19
1.270000,0.230720045,-0.012592025,0.140168247,-0.007021483,-0.157611791,2.844639,1,Solve_Succeeded,-0.132457131,0.022280578,-8.673617379884e-19
1.280000,0.232106164,-0.012659630,0.138845283,-0.006799656,-0.157611791,2.844639,1,Solve_Succeeded,-0.132457131,0.022280578,-8.673617379884e-19
1.290000,0.233479045,-0.012725196,0.137521757,-0.006593084,-0.158754791,2.782682,1,Solve_Succeeded,-0.133359107,0.021270134,0.000000000000e+00
1.300000,0.234838591,-0.012788635,0.136189676,-0.006381302,-0.158754791,2.782682,1,Solve_Succeeded,-0.133359107,0.021270134,0.000000000000e+00
1.310000,0.236184810,-0.012850125,0.134857067,-0.006183834,-0.159826589,3.469611,1,Solve_Succeeded,-0.134204821,0.020321128,0.000000000000e+00
1.320000,0.237517609,-0.012909583,0.133516434,-0.005981485,-0.159826589,3.469611,1,Solve_Succeeded,-0.134204821,0.020321128,0.000000000000e+00
1.330000,0.238836995,-0.012967175,0.132175306,-0.005792552,-0.160829777,2.627244,1,Solve_Succeeded,-0.134996233,0.019429567,0.000000000000e+00
1.340000,0.240142882,-0.013022824,0.130826669,-0.005599061,-0.160829777,2.627244,1,Solve_Succeeded,-0.134996233,0.019429567,0.000000000000e+00
1.350000,0.241435277,-0.013076686,0.129477568,-0.005418128,-0.161766796,3.892909,1,Solve_Succeeded,-0.135735189,0.018591715,2.602085213965e-18
1.360000,0.242714098,-0.013128689,0.128121453,-0.005232959,-0.161766796,3.892909,1,Solve_Succeeded,-0.135735189,0.018591715,2.602085213965e-18
1.370000,0.243979354,-0.013178978,0.126764906,-0.005059528,-0.162639937,4.029255,1,Solve_Succeeded,-0.136423424,0.017804077,0.000000000000e+00
1.380000,0.245230966,-0.013227487,0.125401825,-0.004882180,-0.162639937,4.029255,1,Solve_Succeeded,-0.136423424,0.017804077,0.000000000000e+00
1.390000,0.246468944,-0.013274351,0.124038341,-0.004715786,-0.163451358,2.683135,1,Solve_Succeeded,-0.137062573,0.017063383,0.000000000000e+00
1.400000,0.247693215,-0.013319509,0.122668787,-0.004545788,-0.163451358,2.683135,1,Solve_Succeeded,-0.137062573,0.017063383,0.000000000000e+00
1.410000,0.248903786,-0.013363087,0.121298859,-0.004385996,-0.164203089,3.229319,1,Solve_Succeeded,-0.137654176,0.016366573,0.000000000000e+00
